star_score,score_reple,writer_id,write_date
10,최근 본 영화중에 제일 웃김,박수홍(vkfk****),2020.01.23 14:54
10,21세기에 나올수없는 최고의 영화대박기원,유재형(nick****),2020.01.23 02:57
10,권상우는 역시 코믹액션이지 근데 허성태는 좀 안나왔으면 좋겠다 너무 안어울린다ㅋ,준(purp****),2020.01.22 23:54
6,저 평점글을 이길만한 글이 생각나지 않넼ㅋ,3779(eunh****),2020.01.22 10:35
10,ㅋㅋㅋ진짜 연휴엔 코미디영화가 딱인듯아무생각 없이  미친듯이 웃고 나가네요,자기야(jk23****),2020.01.23 15:28
2,솔직히 지원이는 정준호 딸같은 느낌이 더 강해서 몰입할수없었고. 권상우가 결혼을 안한 시나리오였으면 더 괜찮지않았을까영화 끝나기 30분 전부터는 몰입도가 너무 떨어져서 핸드폰 봤고. 완성도도 너무 허무맹랑.왠만해선 ...,민e(tc98****),2020.01.23 06:56
10,개꿀잼 꼭 보러가세요ㅋㅋㅋ 킬포많고 잘만든 영화임,흥칫뿡(merm****),2020.01.23 01:48
10,권상우 영화중 최고입니다완전웃겨요 좋았어요~^^,승경시윤(tmdr****),2020.01.22 23:50
10,뜬금없이 웃겨요 ㅋㅋㅋ약간 블랙코미디 감성이 섞인듯한 느낌!!,구다(dday****),2020.01.22 23:13
2,,PYJ(wer3****),2020.01.22 20:09
2,단순한 스토리~~~~,71ye****,2020.01.22 17:55
5,그냥 딱 명절특선영화수준. 할인받을거 다 받고 봐서 다행이다...,dlql****,2020.01.22 13:49
4,감독 프로필 사진 같은 영화,꼬르륵(skyw****),2020.01.22 20:11
2,"많이 안타깝네여 ,, 과거로 가는 타임머신타고 영화보고 나온 기분",dizm****,2020.01.22 19:47
2,네. 제목만 히트인것으로.,KingDragon(dlsn****),2020.01.22 17:58
5,웃길려고 무리수를 많이 두네요.때문에 스토리가 엉성합니다.,lyb6****,2020.01.22 17:58
2,,아카시아v(lung****),2020.01.22 17:24
6,진심..영화 보는중에 리뷰씀....억지웃음....히트맨2는 못나오겠어요 권상우님...,정채윤(cy12****),2020.01.22 11:50
4,"연기가 아쉽고..예고편이 전부인 재미..차라리, 드라마로 제작했으면 좀 더 좋을꺼 같은 영화돈주고 보기엔.. 제 취향은 아니었던..스토리는 좋았는데..",애교쟁이루나(anji****),2020.01.22 21:34
1,권삼우에게 대사를 많이 준게 실쑤. 쫄망작.,open****,2020.01.22 19:46
4,2시간이 4시간 같았음,exi5****,2020.01.22 13:35
2,아 권상우가 주연만 아니었더라면.,COCOBROWNY(coco****),2020.01.22 23:33
7,"네티즌 힘 좀 빌리겠습니다.제가 지금 미스터 주, 히트맨 이거 두개 중에 뭐 볼 지 고민중인데히트맨이 재미있으면 업을 눌러 주시고 미스터 주가 재미있으면 다운을 눌러주세요도움을 주신다면 정말 감사하겠습니다.",Legend(fore****),2020.01.22 18:35
2,배우들 연기 개 OO에다가 영화 만든수준 최하위댓글 알바에 낚여서 영화봤네돈 아까워,gthb****,2020.01.22 16:50
